진료개시년도,진료형태소분류코드,시도코드,시도시군구코드,주상병분류,진료인원(명),진료비(천원)
2021,한방기관입원,서울특별시,도봉구,소화기계의 질환[K00-K93],41,53679
2021,한방기관입원,서울특별시,도봉구,피부 및 피하조직의 질환[L00-L99],6,5525
2021,한방기관입원,서울특별시,도봉구,근골격계 및 결합조직의 질환[M00-M99],370,546339
2021,한방기관입원,서울특별시,도봉구,비뇨생식기계의 질환[N00-N99],28,23102
2021,한방기관입원,서울특별시,도봉구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],35,29712
2021,한방기관입원,서울특별시,도봉구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],200,279936
2021,한방기관입원,서울특별시,도봉구,특수목적코드[U00-U99],52,47770
2021,한방기관입원,서울특별시,노원구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,노원구,신생물[C00-D48],168,336191
2021,한방기관입원,서울특별시,노원구,내분비  영양 및 대사질환[E00-E90],22,16760
2021,한방기관입원,서울특별시,노원구,정신 및 행동장애[F00-F99],103,439587
2021,한방기관입원,서울특별시,노원구,신경계의 질환[G00-G99],209,197314
2021,한방기관입원,서울특별시,노원구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,노원구,귀 및 유양돌기의 질환[H60-H95],*,*
2021,한방기관입원,서울특별시,노원구,순환기계의 질환[I00-I99],144,208757
2021,한방기관입원,서울특별시,노원구,호흡기계의 질환[J00-J99],20,6698
2021,한방기관입원,서울특별시,노원구,소화기계의 질환[K00-K93],65,37511
2021,한방기관입원,서울특별시,노원구,피부 및 피하조직의 질환[L00-L99],5,985
2021,한방기관입원,서울특별시,노원구,근골격계 및 결합조직의 질환[M00-M99],530,745777
2021,한방기관입원,서울특별시,노원구,비뇨생식기계의 질환[N00-N99],25,25510
2021,한방기관입원,서울특별시,노원구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],56,77034
2021,한방기관입원,서울특별시,노원구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],304,428337
2021,한방기관입원,서울특별시,노원구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,노원구,특수목적코드[U00-U99],116,117470
2021,한방기관입원,서울특별시,은평구,특정감염성 및 기생충성 질환[A00-B99],11,7387
2021,한방기관입원,서울특별시,은평구,신생물[C00-D48],177,279809
2021,한방기관입원,서울특별시,은평구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],5,2294
2021,한방기관입원,서울특별시,은평구,내분비  영양 및 대사질환[E00-E90],28,9828
2021,한방기관입원,서울특별시,은평구,정신 및 행동장애[F00-F99],86,227532
2021,한방기관입원,서울특별시,은평구,신경계의 질환[G00-G99],248,318478
2021,한방기관입원,서울특별시,은평구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,은평구,귀 및 유양돌기의 질환[H60-H95],5,6288
2021,한방기관입원,서울특별시,은평구,순환기계의 질환[I00-I99],140,212664
2021,한방기관입원,서울특별시,은평구,호흡기계의 질환[J00-J99],18,8153
2021,한방기관입원,서울특별시,은평구,소화기계의 질환[K00-K93],33,41188
2021,한방기관입원,서울특별시,은평구,피부 및 피하조직의 질환[L00-L99],*,*
2021,한방기관입원,서울특별시,은평구,근골격계 및 결합조직의 질환[M00-M99],643,939530
2021,한방기관입원,서울특별시,은평구,비뇨생식기계의 질환[N00-N99],31,22690
2021,한방기관입원,서울특별시,은평구,선천성기형  변형 및 염색체 이상[Q00-Q99],*,*
2021,한방기관입원,서울특별시,은평구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],48,40892
2021,한방기관입원,서울특별시,은평구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],288,461684
2021,한방기관입원,서울특별시,은평구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],6,2574
2021,한방기관입원,서울특별시,은평구,특수목적코드[U00-U99],39,31040
2021,한방기관입원,서울특별시,서대문구,특정감염성 및 기생충성 질환[A00-B99],9,2959
2021,한방기관입원,서울특별시,서대문구,신생물[C00-D48],142,229262
2021,한방기관입원,서울특별시,서대문구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,서대문구,내분비  영양 및 대사질환[E00-E90],26,8881
2021,한방기관입원,서울특별시,서대문구,정신 및 행동장애[F00-F99],81,83253
2021,한방기관입원,서울특별시,서대문구,신경계의 질환[G00-G99],181,325842
2021,한방기관입원,서울특별시,서대문구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,서대문구,귀 및 유양돌기의 질환[H60-H95],*,*
2021,한방기관입원,서울특별시,서대문구,순환기계의 질환[I00-I99],119,252946
2021,한방기관입원,서울특별시,서대문구,호흡기계의 질환[J00-J99],12,15319
2021,한방기관입원,서울특별시,서대문구,소화기계의 질환[K00-K93],29,22857
2021,한방기관입원,서울특별시,서대문구,피부 및 피하조직의 질환[L00-L99],*,*
2021,한방기관입원,서울특별시,서대문구,근골격계 및 결합조직의 질환[M00-M99],427,604082
2021,한방기관입원,서울특별시,서대문구,비뇨생식기계의 질환[N00-N99],26,28782
2021,한방기관입원,서울특별시,서대문구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],22,17803
2021,한방기관입원,서울특별시,서대문구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],210,298522
2021,한방기관입원,서울특별시,서대문구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],7,1805
2021,한방기관입원,서울특별시,서대문구,특수목적코드[U00-U99],27,14907
2021,한방기관입원,서울특별시,마포구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,마포구,신생물[C00-D48],164,375001
2021,한방기관입원,서울특별시,마포구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,마포구,내분비  영양 및 대사질환[E00-E90],24,12518
2021,한방기관입원,서울특별시,마포구,정신 및 행동장애[F00-F99],94,240847
2021,한방기관입원,서울특별시,마포구,신경계의 질환[G00-G99],178,350378
2021,한방기관입원,서울특별시,마포구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,마포구,귀 및 유양돌기의 질환[H60-H95],8,10809
2021,한방기관입원,서울특별시,마포구,순환기계의 질환[I00-I99],126,257166
2021,한방기관입원,서울특별시,마포구,호흡기계의 질환[J00-J99],20,13583
2021,한방기관입원,서울특별시,마포구,소화기계의 질환[K00-K93],30,28975
2021,한방기관입원,서울특별시,마포구,피부 및 피하조직의 질환[L00-L99],6,8820
2021,한방기관입원,서울특별시,마포구,근골격계 및 결합조직의 질환[M00-M99],403,689992
2021,한방기관입원,서울특별시,마포구,비뇨생식기계의 질환[N00-N99],22,19876
2021,한방기관입원,서울특별시,마포구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],37,19997
2021,한방기관입원,서울특별시,마포구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],244,386816
2021,한방기관입원,서울특별시,마포구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,마포구,특수목적코드[U00-U99],42,33151
2021,한방기관입원,서울특별시,양천구,특정감염성 및 기생충성 질환[A00-B99],12,6196
2021,한방기관입원,서울특별시,양천구,신생물[C00-D48],222,448790
2021,한방기관입원,서울특별시,양천구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],16,2892
2021,한방기관입원,서울특별시,양천구,내분비  영양 및 대사질환[E00-E90],58,18467
2021,한방기관입원,서울특별시,양천구,정신 및 행동장애[F00-F99],80,147571
2021,한방기관입원,서울특별시,양천구,신경계의 질환[G00-G99],212,389009
2021,한방기관입원,서울특별시,양천구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,양천구,귀 및 유양돌기의 질환[H60-H95],10,8989
2021,한방기관입원,서울특별시,양천구,순환기계의 질환[I00-I99],171,332703
2021,한방기관입원,서울특별시,양천구,호흡기계의 질환[J00-J99],22,13763
2021,한방기관입원,서울특별시,양천구,소화기계의 질환[K00-K93],54,22555
2021,한방기관입원,서울특별시,양천구,피부 및 피하조직의 질환[L00-L99],14,4447
2021,한방기관입원,서울특별시,양천구,근골격계 및 결합조직의 질환[M00-M99],661,1301225
2021,한방기관입원,서울특별시,양천구,비뇨생식기계의 질환[N00-N99],32,56290
2021,한방기관입원,서울특별시,양천구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],68,41397
2021,한방기관입원,서울특별시,양천구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],457,842758
2021,한방기관입원,서울특별시,양천구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],9,5514
2021,한방기관입원,서울특별시,양천구,특수목적코드[U00-U99],34,33876
2021,한방기관입원,서울특별시,강서구,특정감염성 및 기생충성 질환[A00-B99],13,15607
2021,한방기관입원,서울특별시,강서구,신생물[C00-D48],286,595821
2021,한방기관입원,서울특별시,강서구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,강서구,내분비  영양 및 대사질환[E00-E90],55,32539
2021,한방기관입원,서울특별시,강서구,정신 및 행동장애[F00-F99],79,318720
2021,한방기관입원,서울특별시,강서구,신경계의 질환[G00-G99],273,427369
2021,한방기관입원,서울특별시,강서구,눈및눈부속기의 질환[H00-H59],5,6727
2021,한방기관입원,서울특별시,강서구,귀 및 유양돌기의 질환[H60-H95],7,10166
2021,한방기관입원,서울특별시,강서구,순환기계의 질환[I00-I99],219,379877
2021,한방기관입원,서울특별시,강서구,호흡기계의 질환[J00-J99],45,11890
2021,한방기관입원,서울특별시,강서구,소화기계의 질환[K00-K93],76,42091
